movie,year,rating
The Shawshank Redemption,(1994),
The Godfather,(1972),
The Dark Knight,(2008),
The Godfather: Part II,(1974),
12 Angry Men,(1957),
The Lord of the Rings: The Return of the King,(2003),
Pulp Fiction,(1994),
Schindler's List,(1993),
Inception,(2010),
Fight Club,(1999),
The Lord of the Rings: The Fellowship of the Ring,(2001),
Forrest Gump,(1994),
"The Good, the Bad and the Ugly",(1966),
The Lord of the Rings: The Two Towers,(2002),
The Matrix,(1999),
Goodfellas,(1990),
Star Wars: Episode V - The Empire Strikes Back,(1980),
One Flew Over the Cuckoo's Nest,(1975),
Parasite,(2019),
Interstellar,(2014),
City of God,(2002),
Spirited Away,(2001),
Saving Private Ryan,(1998),
The Green Mile,(1999),
Life Is Beautiful,(1997),
Se7en,(1995),
The Silence of the Lambs,(1991),
Star Wars: Episode IV - A New Hope,(1977),
Hara-Kiri,(1962),
Seven Samurai,(1954),
It's a Wonderful Life,(1946),
Whiplash,(2014),
The Intouchables,(2011),
The Prestige,(2006),
The Departed,(2006),
The Pianist,(2002),
Gladiator,(2000),
American History X,(1998),
The Usual Suspects,(1995),
Léon: The Professional,(1994),
The Lion King,(1994),
Terminator 2: Judgment Day,(1991),
Cinema Paradiso,(1988),
Grave of the Fireflies,(1988),
Back to the Future,(1985),
Once Upon a Time in the West,(1968),
Psycho,(1960),
Pather Panchali,(1955),
Rear Window,(1954),
Casablanca,(1942),
